,drug,count
27051,temodal® or dacarbazine medac®,1
27052,weight gain prevention program,1
27053,transcutaneous electrical stimulation (es),1
27054,topotecan hcl,1
27055,5g mtx,1
27056,cancer-related discussion program,1
27057,standard radio(chemotherapy),1
27058,"neuroblastoma vaccine (unmodified sknlp, with gene-modified sjnb-jf-il2 and sjnb-jf-ltn neuroblastoma cells)",1
27059,mk-1775 (azd1775),1
27060,placebo (for ssr411298),1
27061,usual post-operative care,1
27062,lopinavir/ritonavir plus emtricitabine/tenofovir versus efavirenz plus emtricitabine/tenofovir,1
27063,oral ferrous fumarate,1
27064,uspio-enhanced mri,1
27065,mk-1248,1
27066,patient-led follow-up,1
27067,medi0680 10 mg/kg,1
27068,qbi-139,1
27069,sham qigong,1
27070,tas-117,1
27071,ivor lewis,1
27072,met/vegfr2 inhibitor foretinib,1
27073,high-resolution microendoscopy (hrme),1
27074,nutrition /swallowing counseling,1
27075,sequential packaging (set),1
27076,hizentra,1
27077,"tandutinib, bevacizumab, and temozolomide",1
27078,bortezomib and tipifarnib,1
27079,arm b: iv iron + epoietin zeta sequence,1
27080,johnson&johnson medical suzhou made spine fusion system,1
27081,cabozantinib (xl184),1
27082,immunologic evaluation,1
27083,amino levulinic acid,1
27084,sharkcore (tm) fnb exchange system,1
27085,rt+cetuximab,1
27086,caffeine anhydrous 5% added to lipoderm cream base.,1
27087,ag-120 matched placebo,1
27088,ablation therapy,1
27089,endoscopic ultrasound-guided drainage,1
27090,sofenacin,1
27091,spiritual counseling,1
27092,intensity-modulated x-ray therapy (imrt),1
27093,hysteroscopic polypectomy,1
27094,bf-200 ala gel,1
27095,chronic myeloid leukemia + nk cell,1
27096,cure tape™ covering t 7 and t 8 dermatomes,1
27097,[68ga]p16-093,1
27098,tumor resection and neck dissection,1
27099,agi-134,1
27100,repca a,1
27101,i-131-clr1404 injection,1
27102,health professional face-to-face appointment (step 3),1
27103,photon radiosurgery system (intrabeam),1
27104,"5fu, paraplatin",1
27105,vaginal laser treatment,1
27106,three fraction accelerated partial breast irradiation,1
27107,aquapheresis,1
27108,return of results follow-up visits,1
27109,flexible sigmoidoscopy or colonoscopy,1
27110,high-flow air,1
27111,humanized anti-her2 antibody,1
27112,pain intensity measured in vas scale,1
27113,mri group,1
27114,trc105 chimeric anti-cd105 antibody,1
27115,growing resiliency and courage with cancer™ (grace),1
27116,tamoxifen + aminoglutethimide,1
27117,asp5878,1
27118,mid-level recruitment strategy consent form,1
27119,intensity modulated radiation therapy boost,1
27120,cytomegalovirus ie-1-specific cytotoxic t lymphocytes,1
27121,tak-981,1
27122,gsk2118436 150mg,1
27123,exercise home program,1
27124,message sidedness,1
27125,msx-122,1
27126,hight-fat breakfast,1
27127,ceftazidim,1
27128,zoledronic acid i.v. 2 years,1
27129,bilateral thoracoscopic splanchnicectomy,1
27130,tabalumab,1
27131,nant-008,1
27132,combination of ganetespib and docetaxel,1
27133,chronic pain evaluation,1
27134,gemcitabine-oxaliplatin regimen,1
27135,analgesic/antipyretic and antihistamine drugs,1
27136,dietary supplementation with capsules containing rosemary and alkylglycerol,1
27137,processed human nerve tissue scaffold,1
27138,hb002.1t,1
27139,autologous ebv specific cytotoxic t lymphocytes,1
27140,bupivacaine liposome suspension,1
27141,neoadjuvant ct,1
27142,observance of oral drug treatment,1
27143,8.5mg ino-5150 and electroporation device cellectra®-5p,1
27144,vehicle topical,1
27145,tbi-1501,1
27146,sparc147609,1
27147,177lu-octreotate,1
27148,practice logs,1
27149,complete decongestive therapy (cdt),1
27150,ccc website,1
27151,"skin, mouth, and/or ocular swab",1
27152,gm-csf and montanide isa-51,1
27153,speech mapping,1
27154,cytarabine.,1
27155,eus-fna with corkscrew technique,1
27156,patient-centered approach (pca) + app,1
27157,no intervention study,1
27158,supervised aerobic exercise training,1
27159,cetuximab + docetaxel + cisplatin,1
27160,icar19 car-t cells,1
27161,giant completed patient,1
27162,health education counseling,1
27163,mfolfox6+placebo,1
27164,lumason,1
27165,modified pectoral block,1
27166,blinatumomab expanded t-cells (bet),1
27167,emotional induction,1
27168,sunitinib-sorafenib,1
27169,tunneled intraperitoneal drain (ipd),1
27170,rivoceranib,1
27171,telepristone acetate 6 mg,1
27172,sems insertion,1
27173,standard formula supplement,1
27174,cc-5103 (lenalidomide),1
27175,asn002 dose escalation,1
27176,topical amphimatrix,1
27177,get up and go test,1
27178,mgcd0103 and azacitidine,1
27179,cytosin-arabinosid,1
27180,luitpold azacitidine,1
27181,highly-purified ctl,1
27182,hepasphere with 50-75mg doxorubicin,1
27183,asg-22ce,1
27184,erlotinib po and vidaza iv,1
27185,"evaluation of social, cultural and behavioral factors",1
27186,ultrasound guided celiac plexus neurolysis (cpn),1
27187,broccoli sprout powder,1
27188,personalized mrna tumor vaccine,1
27189,best clinical practices plus culturally targeted print materials,1
27190,cyt004-melqbg10 + montanide,1
27191,mor03087 phase 1 dose escalation,1
27192,bridging followed by transplant,1
27193,"cg53135-05, velafermin",1
27194,abx-egf (panitumumab),1
27195,web-only,1
27196,staff multi-component implementation strategy,1
27197,no specific intervention,1
27198,peg asparaginase at six weeks interval,1
27199,testosterone (androgel®) with the 5?-reductase inhibitor dutasteride,1
27200,"other academic ""sham"" tutoring",1
27201,saline (sodium chloride),1
27202,89zr-dfo-huj591,1
27203,standard closure of the surgical incision,1
27204,key informant,1
27205,arq 751 + fulvestrant,1
27206,chop plus famotidine,1
27207,appearance-focused website intervention,1
27208,unenhanced ultrasound,1
27209,docetaxel oxaliplatin 5-fu cf,1
27210,sorafenib + lbh589,1
27211,recommendations,1
27212,isotoxic hypofractionation,1
27213,ctdna analysis for the detection of genetic mutations,1
27214,monoclonal antibody 3h1 alu gel,1
27215,cto alone,1
27216,investigational medical product (imp) administered in parent study,1
27217,biopsy sponge pad,1
27218,methyl aminolaevulinate 16% cream,1
27219,computer-based cognitive training,1
27220,syb c-1101 and azacytidine,1
27221,gsk2857916 frozen,1
27222,post intervention,1
27223,kappa cd28 t cells,1
27224,np137,1
27225,mage-3.a1 peptide and cpg 7909,1
27226,stepped crcs interventions,1
27227,regn4018,1
27228,wide-field white light imaging,1
27229,vorinostat plus erlotinib,1
27230,induction tp chemotherapy,1
27231,satraplatin and docetaxel,1
27232,brief mailed booklet - smaller version of nci's booklet,1
27233,electronic consult system,1
27234,trovax® (immunological vaccine therapy),1
27235,infusion of one mpc expanded cord unit and one unexpanded cord unit,1
27236,"trastuzumab, docetaxel and carboplatin in dose dense regimen",1
27237,fisiogel,1
27238,anti-cd7 car-pnk cells,1
27239,technology-based information and coaching/support program,1
27240,abt199,1
27241,zd1694 (tomudex),1
27242,vibrossense meter®,1
27243,bkm120 + lapatinib,1
27244,sta 4783,1
27245,fdg pet ct,1
27246,ski-606,1
27247,deep local anesthesia alone,1
27248,eus-rfa using habib tm as a probe,1
27249,ercp guided brushing and biopsy,1
27250,g-flip-dm,1
27251,lifestyle changes with the support of health technology,1
27252,whole pelvic radiotherapy,1
27253,bupivacaine 0.75% in dextrose inj 8.25%,1
27254,pancreaticoduodenectomy with retroperitoneal lymphadenectomy,1
27255,recombinant human adenovirus type 5 injection,1
27256,gcsf mobilized allogeneic pbsc cultured w/cytokines; transduced w/rv,1
27257,5-aminolévulinique acid (5-ala),1
27258,allostim®,1
27259,coenzyme q10 placebo,1
27260,cevimeline hydrochloride,1
27261,angiography and embolotherapy,1
27262,coloshield,1
27263,flow cytometric analysis,1
27264,intermediate-risk therapy,1
27265,gemcitabine +carboplatin,1
27266,varilrix,1
27267,optical spectroscopy,1
27268,imatinib + lbh589,1
27269,nanoparticle albumin-bound paclitaxel/carboplatin,1
27270,iv caldolor (iv ibuprofen),1
27271,wst 11-mediated vtp therapy,1
27272,transgastric endoscopic peritoneoscopy.,1
27273,70g of fully digestible starch amylopectin corn starch,1
27274,sami,1
27275,chest tomosynthesis and x-ray,1
27276,confocal laser endomicroscopy (pcle),1
27277,management of therapy and complications,1
27278,interstitial radiation therapy,1
27279,hot emr,1
27280,"methylaminolevulinate (metvix, metvixia)",1
27281,topotecan + cisplatin,1
27282,early detection,1
27283,maltodextrin/dextrose,1
27284,1.2% lugol's solution,1
27285,gatorade g2,1
27286,sirt yttrium-90,1
27287,endoscope,1
27288,obi-3424,1
27289,"pre, during and pos-treatment swallowing exercises",1
27290,calfactant,1
27291,zio-201-t and doxorubicin,1
27292,indocyanine green (ic-green),1
27293,intraoperative ct imaging,1
27294,arm a-bavituximab 3mg/kg iv over 90 minutes weekly x 3 followed by bavituximab 3mg/kg iv over 90 minutes weekly x 12 plus ipilimumab 3mg/kg iv,1
27295,aqualief,1
27296,genetic interaction analysis,1
27297,morphine patient controlled analgesia,1
27298,nutritional management,1
27299,replens,1
27300,solar simulator,1
27301,"surveys, evaluative tests for leg function",1
27302,bupivacaine in epidural catheter,1
27303,scintigraphy 99mtc-mdp-spect/ct.,1
27304,helical tomotherapy (ht),1
27305,imaging 18f-fdg-pet/ct,1
27306,text message smoking cessation support,1
27307,re-examination,1
27308,arm a: rituximab,1
27309,fitness testing,1
27310,whole breast irradiation plus simultaneous tumor bed boost,1
27311,use of navigated 3d ultrasound during surgery,1
27312,computerized risk stratification tool,1
27313,reducing sitting time group,1
27314,home-based sleep intervention,1
27315,sm-lhw,1
27316,pf-04449913 (glasdegib),1
27317,stellate ganglion block injection with bupivicaine,1
27318,250ml glucose 5%,1
27319,"their will be no intervention in any of the groups, the study is retrospective",1
27320,robot based transtympanic drain placement,1
27321,shoulder conventional exercises,1
27322,tandem microsphere loaded with epirubicin,1
27323,azacitidine and eltrombopag,1
27324,midostaurin placebo,1
27325,folfox + cetuximab,1
27326,intensive decongestive treatment,1
27327,loco regional therapies for hcc,1
27328,anastrozole 1mg tablet,1
27329,anagrelide,1
27330,supr,1
27331,blood sample for genetic analysis (identification of germ line genetic factors that influence the risk of metastatic breast cancer),1
27332,pdr001+mcs110,1
27333,magnetic resonance image scanner,1
27334,colestipol,1
27335,lidocaine (xylocaine),1
27336,iterative picc placement,1
27337,flare imaging system,1
27338,meditation and discussion sessions,1
27339,dual internally cooled-wet electrodes,1
27340,nanthealth gps cancer test,1
27341,htp treatment,1
27342,bexarotene (targretin®),1
27343,adjusted dezocine injection,1
27344,mri±biopsy,1
27345,"lapatinib + 1,23 mg eribulin",1
27346,5-ht3 inhibitor,1
27347,f-18-fdg,1
27348,regorafenib 160 mg,1
27349,anti-pd-1 monoclonal antibody regn2810,1
27350,veltuzumab and milatuzumab,1
27351,"resovist (bay86-4884, sh u 555 a)",1
27352,f18-fgd pet/ct,1
27353,dexanabinol dose level 1,1
27354,sodium alginate mixed with calcium lactate,1
27355,tivozanib (av-951) plus folfox6,1
27356,women without arthralgia,1
27357,"abr-215050, tasquinimod",1
27358,lifepearl microspheres loaded with irinotecan,1
27359,alpha-tocopherol and beta-carotene,1
27360,intrathecal morphine+la+ mg sulp. 100,1
27361,90yttrium ibritumomab tiuxetan (zevalin),1
27362,mgh ofdi imaging,1
27363,pembrolizumab 200 mg q3w,1
27364,velcade cyclophosphamide prednisone,1
27365,exercise and self-management,1
27366,immunotherapeutic agents,1
27367,eus-fnb with sharkcore needle,1
27368,distortion product otoacoustic emission measurement (dpoae),1
27369,transurethral resection of prostate,1
27370,dose dense ac-p,1
27371,levonorgestrel-releasing intrauterine system(lng-ius),1
27372,avelumab (once weekly),1
27373,arimidex 1mg,1
27374,paclitaxel +/- bevacizumab,1
27375,water infusion in lieu of air insufflation,1
27376,intensive intervention,1
27377,neck dissection impairment index,1
27378,self-expandable biliary nitinol alloys stent,1
27379,nk-cell infusion,1
27380,progestins,1
27381,oravescent fentanyl citrate,1
27382,sorafenib (bay43-9006),1
27383,omega-3 fish oil,1
27384,"questionnaire, educational material",1
27385,investigators choice single agent,1
27386,adecatumumab and folfox,1
27387,green indocianine,1
27388,open pancreatoduodenectomy,1
27389,co2 aortogram,1
27390,routine leg edema and groin dissection,1
27391,0.1% uracil ointment,1
27392,mt-sdna screening test,1
27393,traditional surgery type,1
27394,e. coli nissle suspension,1
27395,hypofractionated palliative re-irradiation,1
27396,vicryl plus and monocryl plus,1
27397,photodynamic therapy (aktilite),1
27398,stressmanagement,1
27399,combined real-time use of 'multi-leaf collimator adaptation' and 'kv intrafraction monitoring',1
27400,neuromuscular blockade,1
27401,nanopulse system,1
27402,gi-6301 vaccine (yeast- brachyury),1
27403,hsv-tk +valacyclovir in combination with brachytherapy,1
27404,chemotherapy - nsclc other than squamous cell,1
27405,one-time blood draw,1
27406,vac wound dressing,1
27407,resiquimod 0.01%,1
27408,tumor specimens,1
27409,imu-131,1
27410,?amphotericin b,1
27411,restoration of port-a-cath® with alteplase,1
27412,mk-3475 (phase i),1
27413,annual intervention group,1
27414,arm a: 3d-conformal radiation,1
27415,pd-1 antibody expressing mesocar-t cells,1
27416,monoclonal antibody hefi-1,1
27417,normal fractionated irradiation,1
27418,cetuximab + platinum + gemcitabine,1
27419,bipolar coagulation,1
27420,clopidogrel bisulfate,1
27421,extension her-2 vaccine trial at obd,1
27422,preoperative and intraoperative sln mapping,1
27423,mrghifu system,1
27424,magnetic resonance-guided high-intensity focused ultrasound,1
27425,"bcd chemotherapy (bendamustine, carboplatin, dexamethasone)",1
27426,combo pbf-509 (160 mg) + pdr001,1
27427,dna ploidy,1
27428,contrast-enhanced renal ultrasonography (ceus),1
27429,pamiparib capsule,1
27430,neoadjuvant mfolfirinox,1
27431,adriamycin and cyclophosphamide,1
27432,magnesium l-threonate,1
27433,surveys and cognitive tests,1
27434,dovitinib plus imatinib,1
27435,assessment of the performances of qcad/lyon in characterizing gleason ?7 cancers among contoured lesions,1
27436,trientine dihydrochloride,1
27437,fdc of pertuzumab and trastuzumab sc,1
27438,guided imagery and music therapy,1
27439,analysis with molecular biology,1
27440,nimotuzumab (theracim h-r3),1
27441,stress and symptom management program 1,1
27442,perioperative pregabalin,1
27443,cortisol tests,1
27444,smoking prevention usual care,1
27445,radioembolization with sir-spheres® (yttrium microspheres),1
27446,beneca system,1
27447,tailored print plus tailored phone intervention,1
27448,"""cholecalciferol"" and ""c. xanthorrhiza""",1
27449,no cytoreductive vs cytoreductive drugs,1
27450,t-pat,1
27451,furazolidone,1
27452,17b-estradiol,1
27453,immunoglobulin g (igg),1
27454,a novel mobile phone-based intervention for automated electronic pro collection,1
27455,velcade/dexamethasone/cyclophosphamide,1
27456,cirrhotic albumin,1
27457,"everolimus, lupron, bicalutamide, and radiation",1
27458,"ipilimumab, 3 mg",1
27459,dietary advice plus myo-inositol and folic acid,1
27460,higher-load resistance training (hl),1
27461,diagnostic imaging: 18f-fes pet/ct - 3 month follow-up,1
27462,anti-ngf ab,1
27463,"etoposide, cytarabine, vincristine, dexamethasone",1
27464,combined laproscopic and minilaparotomy ovarian cystectomy,1
27465,omt,1
27466,arms,1
27467,hpv 4,1
27468,oe,1
27469,"mage-a3, hiltonol® (poly-iclc)",1
27470,pad combination,1
27471,blood samples analysis,1
27472,standard doxorubucin and cyclophosphamide,1
27473,yttrium y 90-dota-biotin,1
27474,adi peg 20,1
27475,frozen tumor specimens,1
27476,tau,1
27477,hypocaloric hyperproteic diet,1
27478,"oxaliplatin, irinotecan, s-1(ois)",1
27479,hydrogel hydrosorb®,1
27480,gemcitabine and cisplatin (induction and adjuvant chemotherapy),1
27481,sustained released 5-fu and sustained released cisplatin,1
27482,environ cosmetic roller,1
27483,blz945,1
27484,calmangafodipir (2 µmol/kg),1
27485,lifemel honey intake every day,1
27486,prednisolone synthetic cortisone and isoproterenol together,1
27487,planar scintigraphy imaging,1
27488,ultrasound/mammogram,1
27489,"optical imaging agents (emi-137, nap)",1
27490,endoscopic ultrasound guided fine needle biopsy,1
27491,cell saver,1
27492,bevacizumab + blood samples,1
27493,palbociclib 200mg,1
27494,tumor rda biopsy,1
27495,ms3tmri,1
27496,low-dose interleukin,1
27497,haploidentical bone marrow transplantation,1
27498,ranibizumab 2 mg,1
27499,screening for cervical cancer,1
27500,zd6474 (zactima) 300mg,1
27501,18f-fch pet scan,1
27502,embospheres microspheres,1
27503,prosigna pam-50 assay,1
27504,"hematopoietic stem cell transplantation,",1
27505,adxs-neo,1
27506,smokeless tobacco awareness program,1
27507,poly-myomectomy,1
27508,drotrecogin alfa (activated),1
27509,nk vue: nk cell activity in stimulated whole blood,1
27510,whole breast rt on prone position,1
27511,supportive-expressive group therapy plus education,1
27512,wgt3x-bt,1
27513,green tea (epigallocathechin gallate),1
27514,"6-[f-18]-fluoro-l-3,4,-dihydroxyphenylalanine",1
27515,cognitive function tests,1
27516,c.e.r.a.,1
27517,xrp6976,1
27518,patient to receive standard care without acupuncture or sham acupuncture.,1
27519,dynamic hormone study and magnetic resonance imaging,1
27520,sod1 inhibitor atn-224,1
27521,lipitor,1
27522,small-gauge pars plana vitrectomy,1
27523,esset-cinv,1
27524,neovasculgen,1
27525,bpx-601,1
27526,lletz under general anaesthesia,1
27527,g-scf,1
27528,fna biopsy,1
27529,web-based decision aid plus personalized risk assessment,1
27530,docetaxel + gemcitabine + carboplatin + radiotherapy,1
27531,lyn00101,1
27532,11carbon-acetate-pet,1
27533,ethiodized oil,1
27534,single fraction stereotactic radiosurgery (srs),1
27535,tarceva and rapamycin,1
27536,serum proteomics,1
27537,"trastuzumab, ts one, cisplatin",1
27538,mr mammography,1
27539,part 2: multiple questionnaires,1
27540,bismuth subcitrate,1
27541,"period 1 gx-30, period 2 thyrogen®",1
27542,ipilimumab infusion,1
27543,uft/lv,1
27544,low intensity counseling + varenicline,1
27545,radiofrequency ablation catheter (habib endohbp),1
27546,cd19 car-t,1
27547,proteosome inhibition assessment,1
27548,cardiorespiratory assessment,1
27549,2-(5-fluoro-pentyl)-2-methyl-malonic-acid ([18f]-ml-10),1
27550,gm-csf gene transduced allogeneic vaccine gvax,1
27551,high tie of ima,1
27552,[124i]meta-iodobenzylguanidine,1
27553,dexamethasone (oral),1
27554,"intraoperative mr (polestar n-20, medtronics)",1
27555,standard care of parenteral nutrition,1
27556,radiotherapy 62-64 gy in 5 w (31-32 f. of 2 gy bid),1
27557,salicylate ointment,1
27558,decreased trendelenburg,1
27559,examination of the scalp,1
27560,coping skills intervention training,1
27561,radio-guided surgery,1
27562,nonintubated thoracoscopic lobectomy,1
27563,biopsy with 25 gauge needle,1
27564,questionnaire of clinicals signs,1
27565,granulocyte colony stimulating factor: filgrastim or pegfilgastrim,1
27566,digital glove procedure,1
27567,"rituximab, bendamustine, cytarabine.",1
27568,portal vein embolization + major liver resection,1
27569,ganglioside-monosialic acid,1
27570,therapeutic conventional colorectal surgery,1
27571,sonazoid; perflubutane for injection,1
27572,tti-621 plus rituximab,1
27573,hyperbaric oxygen stimulation,1
27574,liebowitz social anxiety scale and the social phobia and anxiety inventory,1
27575,iv bag protectant for moxetumomab pasudotox,1
27576,monalizumab (iph2201,1
27577,visi mobile,1
27578,short message service,1
27579,extra early mobilization,1
27580,empathic attention,1
27581,autologous melanoma lysate/klh-pulsed autologous dendritic cell vaccine,1
27582,emergency endoscopic colonic stenting,1
27583,bym338 active drug,1
27584,radiation therapy of the pelvis,1
27585,placebo oral tablet with calcium and clomiphene citrate,1
27586,sonablate 500(sb-500),1
27587,tumor cell lysate vaccine therapy,1
27588,lymphadenectomy radio-isotope method,1
27589,kir genotype,1
27590,r-ceop90 + auto-hsct,1
27591,recombinant interleukin-2,1
27592,navarixin,1
27593,cd19.car-cd28z t cells - dose escalation 1,1
27594,metastasized intestinal net,1
27595,oxazolidine,1
27596,digital stories,1
27597,no hyperbaric oxygen therapy,1
27598,caffeine (200 mg),1
27599,transgastric diagnostic endoscopic peritoneoscopy,1
27600,radiation treatment and surgery,1
27601,mor00208 (formerly xmab5574),1
27602,thymalfasin (thymosin alpha-1),1
27603,"ixabepilone, 40 mg/m^2 + lapatinib, 1250 mg",1
27604,ppi-2458,1
27605,e-assist: colon health,1
27606,pamphlet,1
27607,prospective surveillance group,1
27608,irinotecan/docetaxel,1
27609,irinotecan + cisplatin,1
27610,"vincristine, cyclophosphamide, methotrexate, doxorubicin, cytarabine, ara-c",1
27611,tti-621,1
27612,standard random esophageal biopsies,1
27613,temodar and sch 66336,1
27614,gm102 antibody,1
27615,car19 t-cells,1
27616,ca 19-9 assay,1
27617,catheter locking systems,1
27618,transcranial doppler microemboli detection study,1
27619,epidermal growth factor receptor tyrosine kinase inhibitor,1
27620,hydralazine and valproic acid: cohort 2,1
27621,melphalan kinetic study,1
27622,ipilimumab 1 mg/kg iv,1
27623,ortho-novum® tablet 1/35,1
27624,clinician communication skills training,1
27625,"endosonography guided fine needle aspiration cytology ( cook medical, boston scientific)",1
27626,transdermal therapeutic system (tts)-fentanyl,1
27627,maitake mushroom extract compound,1
27628,therapeutic videothoracoscopy,1
27629,bismuth subsalicylate,1
27630,prostate cancer decision aid,1
27631,demethylation drug,1
27632,"folfiri (the combination regimen of irinotecan, l-leucovorin and 5-fluorouracil)",1
27633,pet scan use in radiotherapy planning,1
27634,ganglion impar block,1
27635,expanded prostate cancer index composite-sf-12,1
27636,trimethoprim/sulfamethoxazole,1
27637,89zr-bevacizumab pet scan,1
27638,intra-abdominal lidocaine,1
27639,internet weight loss intervention,1
27640,chop+rituximab,1
27641,pegylated interferon-alfa-2b,1
27642,"cp 870,893",1
27643,asparaginase (erwina),1
27644,alt-836 in combination with gemcitabine,1
27645,folinic acid (fa),1
27646,cliniporator,1
27647,nebuliser solution,1
27648,e7389 21 day cycle,1
27649,lyrica 300 mg,1
27650,oxaliplatin+capecitabine+pembrolizumab,1
27651,controlled diet without brassica vegetables,1
27652,welgenaleucel,1
27653,oxaliplatin (eloxatin®),1
27654,rapamycin (sirolimus),1
27655,rontine central venous catheter,1
27656,1 or 2 cycle(s) hdm (high dose melphalan),1
27657,cpg oligodeoxynucleotide,1
27658,laparoscopic right colectomy with intracorporeal ileocolic anastomosis (iia),1
27659,platinum/pemetrexed,1
27660,1018 iss,1
27661,adjuvant temozolomide,1
27662,assessment of serum corticosteroid intermediates and acth,1
27663,a-dmdt390-bisfv(ucht1) (resimmune®),1
27664,implant of bilaminar chitosan scaffold,1
27665,acalabrutinib in combination with bendamustine and rituximab,1
27666,f901318 with fluconazole low dose,1
27667,anti-cd45 monoclonal antibody ahn-12,1
27668,traditional neurocognitive assessments,1
27669,"ixabepilone, 32 mg/m^2 + carboplatin, 5 mg/min/ml",1
27670,standard handout,1
27671,6 mercaptopurine,1
27672,sham infrared laser moxibustion,1
27673,high intensity exercise,1
27674,focal-fusion bx,1
27675,drains,1
27676,"no intervention, only observation",1
27677,ce,1
27678,robotic-assisted radical prostatectomy,1
27679,sativex medium dose,1
27680,"survey of client health, personal habits, family history",1
27681,clr 131 multiple dose,1
27682,veru-944,1
27683,immunonutrition,1
27684,"bonefos (clodronate, bay94-8393)",1
27685,temozolomide (temodal),1
27686,monosyn,1
27687,aca 125,1
27688,syngeneic lymphocytes (cd4+) cultured with okt3 (ortho) and interleukin-2 (chiro,1
27689,autologous nk cells infusions,1
27690,loncastuximab tesirine and durvalumab,1
27691,no radiotherapy if cr at the end of chemotherapy.,1
27692,lorvotuzumab mertansine (imgn901),1
27693,eus-endodrill biopsy,1
27694,pembrolizumab 100 mg in 4 ml injection,1
27695,sr31747a,1
27696,non-nurse coach,1
27697,nipent,1
27698,"cetuximab, oxaliplatin, leucovorin, 5fu, irinotecan",1
27699,rituximab 375 mg/m^2,1
27700,albuterol inhaler,1
27701,monoclonal antibody ca2,1
27702,placebo plus folic acid,1
27703,smartphone app evaluations,1
27704,blood draw and mri,1
27705,decision aid exposure,1
27706,cold water test,1
27707,trail making test (parts a & b),1
27708,placebo?for probiotic?,1
27709,combination therapy - radiation,1
27710,testosterone undecanoate,1
27711,endoscopic surveillance,1
27712,afatinib treatment,1
27713,nifedipine gtis,1
27714,tucatinib (ont-380),1
27715,25 mg androxal,1
27716,"prophylactic cranial irradiation, 2.0 gy fx",1
27717,epacadostat + pembrolizumab,1
27718,ultrasound-guided transbronchial needle-delivered interstitial photodynamic therapy,1
27719,radiotherapy 23 x 1.8 gy,1
27720,cd3-/cd19- natural killer cells,1
27721,cisplatin+vindesine+mmc/ concurrent radiation,1
27722,prevalence-based model,1
27723,darbepoetin alfa iv,1
27724,sorafenib + erlotinib,1
27725,indium in 111 monoclonal antibody hu3s193,1
27726,muscles exercises program,1
27727,pre-treatment swallowing exercises,1
27728,cv9201,1
27729,art therapy group,1
27730,lu-dota-tate,1
27731,pdt + low level laser,1
27732,ato,1
27733,an ultrasound-based technique to identify prostate cancer,1
27734,sir-spheres microspheres (yttrium-90 microspheres),1
27735,lipidem- fish oil emulsion bbraun uk,1
27736,15 gy low-kv iort,1
27737,sr-t100 ® gel,1
27738,s-adenosyl-l-methionine disulfate p-toluene-sulfonate,1
27739,autologous ade1- latent membrane protein ctls,1
27740,fludarabine(flu),1
27741,cervical smear,1
27742,rituximab combined with eshap,1
27743,c-x-c chemokine receptor 4,1
27744,the vdr genotype,1
27745,nivolumab with chemoradiation,1
27746,evaluation of the success rate of implants,1
27747,unconjugated idec-159,1
27748,third look dls,1
27749,thinprep cytology test (tct) and hpv infection types were tested by gynecologist,1
27750,high dose mtx,1
27751,the axillary bilateral-breast approach,1
27752,cromoglicate,1
27753,ta-cin,1
27754,stereotactic radiation arm 2,1
27755,chemotherapy following concurrent chemoradiotherapy,1
27756,b43-genistein immunoconjugate,1
27757,interview with a sociologist,1
27758,gemcitabine/gemzar,1
27759,vpm1002bc,1
27760,"dox: docetaxel, oxaliplatin, capecitabine",1
27761,paclitaxel & carboplatin,1
27762,68ga-hbed-cc-psma pet/ct,1
27763,lactate-containing vaginal lubricant,1
27764,ethiodized oil + doxorubicin,1
27765,"fecal immunochemical test, guaiac fecal occult-blood test, and helicobacter pylori stool antigen test",1
27766,weekly radiation therapy,1
27767,fluoroscopy-guided mld,1
27768,contrast-enhanced diffusion-weighted mri,1
27769,hematopoietic cell transplant (hct),1
27770,telemedicine transmission of biological results,1
27771,msc2363318a,1
27772,in vitro matuartion of oocytes,1
27773,at13148,1
27774,placebo (for atorvastatin),1
27775,cho-h01,1
27776,nsaids (ketorolac and ibuprofen),1
27777,cansort online tool,1
27778,catheterization of internal jugular vein,1
27779,tandem hdct/auto-sct,1
27780,ab prep,1
27781,individualised follow-up,1
27782,dtic-dome (dacarbazine),1
27783,conventional fractionation,1
27784,"gemcitabine, intravenous and oral ascorbic acid (vitamin c)",1
27785,adjuvant chemotherapy (taxol and carboplatin),1
27786,"stop, breathe & think™",1
27787,gemcitabine + rapamycin,1
27788,urea dose b,1
27789,rituximab (rtx),1
27790,calcio levofolinate,1
27791,immune cell,1
27792,gcsf administration on days 8 and 12 after chemotherapy,1
27793,denosumab (reduced dosing),1
27794,cd19 rna redirected autologous t-cells (rna cart19 cells),1
27795,tivozanib (av-951) and capecitabine (xeloda®),1
27796,rsi,1
27797,3d tomosynthesis and ultrasound imaging,1
27798,propofol-dexmedetomidine group,1
27799,injection of normal saline,1
27800,reduced target delineation,1
27801,solaraze 3% topical gel,1
27802,same-day preoperative consultation,1
27803,paclitaxel - induction cohort,1
27804,needle acupuncture,1
27805,ebus_tbna,1
27806,24 gy,1
27807,smartgoggle,1
27808,physical therapy intervention,1
27809,ds-1062a,1
27810,flame boost,1
27811,cytarabine vs. cytarabine+amsacrine+mitoxantrone,1
27812,18f-faza-pet/ct,1
27813,gastrectomy and/or metastasectomy,1
27814,diphenhydramine hydrochloride (hcl),1
27815,casper,1
27816,cts-bc-ch,1
27817,tailored adjuvant therapy,1
27818,sulfamethoxazole/trimethoprim,1
27819,6-minute withdrawal,1
27820,"dexamethasone, rituximab, cyclophosphamide, bortezomib",1
27821,tivozanib (av-951) + paclitaxel,1
